M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)max 2305.13 M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)buff 1570 735.130
M9 刺刀（★ StatTrak™） | 传说 (久经沙场)max 7753.08 M9 刺刀（★ StatTrak™） | 传说 (久经沙场)buff 4157 3596.080
M9 刺刀（★ StatTrak™） | 传说 (略有磨损)buff 9348 M9 刺刀（★ StatTrak™） | 传说 (略有磨损)max 11190.92 -1842.920
M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场)max 2090.10 M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场)buff 1505 585.100
M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)max 2305.13 M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)buff 1570 735.130
M9 刺刀（★ StatTrak™） | 传说 (久经沙场)max 7753.08 M9 刺刀（★ StatTrak™） | 传说 (久经沙场)buff 4157 3596.080
M9 刺刀（★ StatTrak™） | 传说 (略有磨损)buff 9348 M9 刺刀（★ StatTrak™） | 传说 (略有磨损)max 11190.92 -1842.920
M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场)max 2090.10 M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场)buff 1505 585.100
M9 刺刀（★ StatTrak™） | 外表生锈 (战痕累累)max 2123.88 M9 刺刀（★ StatTrak™） | 外表生锈 (战痕累累)buff 1479 644.880
M9 刺刀（★ StatTrak™） | 多普勒 (崭新出厂)max 5040.43 M9 刺刀（★ StatTrak™） | 多普勒 (崭新出厂)buff 3199 1841.430
M9 刺刀（★ StatTrak™） | 枯焦之色 (久经沙场)max 1786.58 M9 刺刀（★ StatTrak™） | 枯焦之色 (久经沙场)buff 1300 486.580
M9 刺刀（★ StatTrak™） | 深红之网 (战痕累累)max 2979.17 M9 刺刀（★ StatTrak™） | 深红之网 (战痕累累)buff 2400 579.170
M9 刺刀（★ StatTrak™） | 渐变之色 (崭新出厂)max 8254.68 M9 刺刀（★ StatTrak™） | 渐变之色 (崭新出厂)buff 5600 2654.680
M9 刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)max 3501.15 M9 刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)buff 2300 1201.150
M9 刺刀（★ StatTrak™） | 澄澈之水 (略有磨损)max 3205.35 M9 刺刀（★ StatTrak™） | 澄澈之水 (略有磨损)buff 2100 1105.350
M9 刺刀（★ StatTrak™） | 自动化 (久经沙场)max 6740.11 M9 刺刀（★ StatTrak™） | 自动化 (久经沙场)buff 3266 3474.110
M9 刺刀（★ StatTrak™） | 自由之手 (久经沙场)max 2683.15 M9 刺刀（★ StatTrak™） | 自由之手 (久经沙场)buff 1710 973.150
M9 刺刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)max 2143.35 M9 刺刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)buff 1520 623.350
M9 刺刀（★ StatTrak™） | 都市伪装 (久经沙场)max 1922.38 M9 刺刀（★ StatTrak™） | 都市伪装 (久经沙场)buff 1285 637.380
M9 刺刀（★ StatTrak™） | 黑色层压板 (久经沙场)max 3876.61 M9 刺刀（★ StatTrak™） | 黑色层压板 (久经沙场)buff 2445 1431.610
M9 刺刀（★ StatTrak™） | 黑色层压板 (破损不堪)max 2646.26 M9 刺刀（★ StatTrak™） | 黑色层压板 (破损不堪)buff 2399.49 246.770
