1698.00,M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)
4194.80,M9 刺刀（★ StatTrak™） | 传说 (久经沙场)
9339.65,M9 刺刀（★ StatTrak™） | 传说 (略有磨损)
1600.00,M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场)
1698.00,M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)
4194.80,M9 刺刀（★ StatTrak™） | 传说 (久经沙场)
9339.65,M9 刺刀（★ StatTrak™） | 传说 (略有磨损)
1600.00,M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场)
1514.00,M9 刺刀（★ StatTrak™） | 外表生锈 (战痕累累)
3260.00,M9 刺刀（★ StatTrak™） | 多普勒 (崭新出厂)
5700.00,M9 刺刀（★ StatTrak™） | 渐变之色 (崭新出厂)
2400.00,M9 刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)
3328.67,M9 刺刀（★ StatTrak™） | 自动化 (久经沙场)
1720.00,M9 刺刀（★ StatTrak™） | 自由之手 (久经沙场)
1550.00,M9 刺刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)
1399.00,M9 刺刀（★ StatTrak™） | 都市伪装 (久经沙场)
2460.00,M9 刺刀（★ StatTrak™） | 黑色层压板 (久经沙场)
2399.99,M9 刺刀（★ StatTrak™） | 黑色层压板 (破损不堪)
1560.00,M9 刺刀（★） | 人工染色 (略有磨损)
4437.03,M9 刺刀（★） | 传说 (久经沙场)
12899.99,M9 刺刀（★） | 传说 (崭新出厂)
2220.00,M9 刺刀（★） | 传说 (战痕累累)
9690.00,M9 刺刀（★） | 传说 (略有磨损)
3041.90,M9 刺刀（★） | 传说 (破损不堪)
4194.66,M9 刺刀（★） | 伽玛多普勒 (崭新出厂)
5500.00,M9 刺刀（★） | 伽玛多普勒 (略有磨损)
1374.00,M9 刺刀（★） | 北方森林 (久经沙场)
1595.40,M9 刺刀（★） | 噩梦之夜 (久经沙场)
1440.00,M9 刺刀（★） | 噩梦之夜 (战痕累累)
1500.00,M9 刺刀（★） | 外表生锈 (战痕累累)
3195.80,M9 刺刀（★） | 多普勒 (崭新出厂)
3200.00,M9 刺刀（★） | 多普勒 (略有磨损)
1793.50,M9 刺刀（★） | 大马士革钢 (久经沙场)
2177.00,M9 刺刀（★） | 大马士革钢 (崭新出厂)
1950.04,M9 刺刀（★） | 大马士革钢 (略有磨损)
1717.28,M9 刺刀（★） | 大马士革钢 (破损不堪)
3070.00,M9 刺刀（★） | 屠夫 (略有磨损)
1234.00,M9 刺刀（★） | 枯焦之色 (久经沙场)
1350.00,M9 刺刀（★） | 枯焦之色 (略有磨损)
1200.00,M9 刺刀（★） | 枯焦之色 (破损不堪)
1265.00,M9 刺刀（★） | 森林 DDPAT (久经沙场)
1465.00,M9 刺刀（★） | 森林 DDPAT (略有磨损)
2498.80,M9 刺刀（★） | 深红之网 (久经沙场)
45000.00,M9 刺刀（★） | 深红之网 (崭新出厂)
1999.00,M9 刺刀（★） | 深红之网 (战痕累累)
6872.12,M9 刺刀（★） | 深红之网 (略有磨损)
2013.96,M9 刺刀（★） | 深红之网 (破损不堪)
5443.55,M9 刺刀（★） | 渐变之色 (崭新出厂)
5190.00,M9 刺刀（★） | 渐变大理石 (崭新出厂)
1799.99,M9 刺刀（★） | 澄澈之水 (久经沙场)
2416.58,M9 刺刀（★） | 澄澈之水 (崭新出厂)
2075.92,M9 刺刀（★） | 澄澈之水 (略有磨损)
1219.77,M9 刺刀（★） | 狩猎网格 (久经沙场)
1400.00,M9 刺刀（★） | 狩猎网格 (略有磨损)
3340.00,M9 刺刀（★） | 自动化 (久经沙场)
5648.00,M9 刺刀（★） | 自动化 (崭新出厂)
2850.00,M9 刺刀（★） | 自动化 (战痕累累)
4009.98,M9 刺刀（★） | 自动化 (略有磨损)
1727.00,M9 刺刀（★） | 自由之手 (久经沙场)
2130.00,M9 刺刀（★） | 自由之手 (崭新出厂)
1935.00,M9 刺刀（★） | 自由之手 (略有磨损)
1581.92,M9 刺刀（★） | 致命紫罗兰 (久经沙场)
1436.00,M9 刺刀（★） | 致命紫罗兰 (战痕累累)
2400.00,M9 刺刀（★） | 致命紫罗兰 (略有磨损)
1787.00,M9 刺刀（★） | 蓝钢 (久经沙场)
1775.00,M9 刺刀（★） | 蓝钢 (战痕累累)
1879.34,M9 刺刀（★） | 蓝钢 (略有磨损)
1750.00,M9 刺刀（★） | 蓝钢 (破损不堪)
3590.00,M9 刺刀（★） | 虎牙 (崭新出厂)
3465.00,M9 刺刀（★） | 虎牙 (略有磨损)
2041.00,M9 刺刀（★） | 表面淬火 (久经沙场)
2279.00,M9 刺刀（★） | 表面淬火 (略有磨损)
1350.00,M9 刺刀（★） | 都市伪装 (久经沙场)
2439.00,M9 刺刀（★） | 黑色层压板 (战痕累累)
2656.00,M9 刺刀（★） | 黑色层压板 (略有磨损)
2450.00,M9 刺刀（★） | 黑色层压板 (破损不堪)
2488.00,刺刀（★ StatTrak™） | 传说 (久经沙场)
3900.00,刺刀（★ StatTrak™） | 传说 (略有磨损)
3400.00,刺刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
2550.00,刺刀（★ StatTrak™） | 多普勒 (崭新出厂)
1490.00,刺刀（★ StatTrak™） | 大马士革钢 (久经沙场)
1550.00,刺刀（★ StatTrak™） | 大马士革钢 (略有磨损)
2000.00,刺刀（★ StatTrak™） | 屠夫 (久经沙场)
3999.00,刺刀（★ StatTrak™） | 深红之网 (略有磨损)
1222.00,刺刀（★ StatTrak™） | 澄澈之水 (久经沙场)
1788.00,刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)
1490.00,刺刀（★ StatTrak™） | 澄澈之水 (略有磨损)
2150.00,刺刀（★ StatTrak™） | 自动化 (久经沙场)
3795.00,刺刀（★ StatTrak™） | 自动化 (略有磨损)
1540.00,刺刀（★ StatTrak™） | 自由之手 (略有磨损)
2468.00,刺刀（★ StatTrak™） | 虎牙 (崭新出厂)
1731.55,刺刀（★ StatTrak™） | 表面淬火 (久经沙场)
1088.00,刺刀（★） | 人工染色 (久经沙场)
1134.00,刺刀（★） | 人工染色 (略有磨损)
2380.00,刺刀（★） | 传说 (久经沙场)
3815.08,刺刀（★） | 传说 (略有磨损)
2160.84,刺刀（★） | 传说 (破损不堪)
2822.00,刺刀（★） | 伽玛多普勒 (崭新出厂)
835.00,刺刀（★） | 北方森林 (久经沙场)
830.00,刺刀（★） | 北方森林 (战痕累累)
1019.87,刺刀（★） | 北方森林 (略有磨损)
859.33,刺刀（★） | 北方森林 (破损不堪)
969.00,刺刀（★） | 噩梦之夜 (久经沙场)
999.00,刺刀（★） | 噩梦之夜 (战痕累累)
1022.92,刺刀（★） | 外表生锈 (战痕累累)
2270.99,刺刀（★） | 多普勒 (崭新出厂)
2218.78,刺刀（★） | 多普勒 (略有磨损)
1275.00,刺刀（★） | 大马士革钢 (久经沙场)
1589.00,刺刀（★） | 大马士革钢 (崭新出厂)
1446.45,刺刀（★） | 大马士革钢 (略有磨损)
1715.00,刺刀（★） | 屠夫 (久经沙场)
