2305.13 M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)
7753.08 M9 刺刀（★ StatTrak™） | 传说 (久经沙场)
11190.92 M9 刺刀（★ StatTrak™） | 传说 (略有磨损)
2090.10 M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场)
2305.13 M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)
7753.08 M9 刺刀（★ StatTrak™） | 传说 (久经沙场)
11190.92 M9 刺刀（★ StatTrak™） | 传说 (略有磨损)
2090.10 M9 刺刀（★ StatTrak™） | 噩梦之夜 (久经沙场)
2123.88 M9 刺刀（★ StatTrak™） | 外表生锈 (战痕累累)
5040.43 M9 刺刀（★ StatTrak™） | 多普勒 (崭新出厂)
1786.58 M9 刺刀（★ StatTrak™） | 枯焦之色 (久经沙场)
2979.17 M9 刺刀（★ StatTrak™） | 深红之网 (战痕累累)
8254.68 M9 刺刀（★ StatTrak™） | 渐变之色 (崭新出厂)
3501.15 M9 刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)
3205.35 M9 刺刀（★ StatTrak™） | 澄澈之水 (略有磨损)
6740.11 M9 刺刀（★ StatTrak™） | 自动化 (久经沙场)
2683.15 M9 刺刀（★ StatTrak™） | 自由之手 (久经沙场)
2143.35 M9 刺刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)
1922.38 M9 刺刀（★ StatTrak™） | 都市伪装 (久经沙场)
3876.61 M9 刺刀（★ StatTrak™） | 黑色层压板 (久经沙场)
2646.26 M9 刺刀（★ StatTrak™） | 黑色层压板 (破损不堪)
4684.74 M9 刺刀（★）
2191.11 M9 刺刀（★） | 人工染色 (略有磨损)
5695.10 M9 刺刀（★） | 传说 (久经沙场)
12950.00 M9 刺刀（★） | 传说 (崭新出厂)
3094.03 M9 刺刀（★） | 传说 (战痕累累)
10860.92 M9 刺刀（★） | 传说 (略有磨损)
5271.83 M9 刺刀（★） | 传说 (破损不堪)
10307.05 M9 刺刀（★） | 伽玛多普勒 (崭新出厂)
5376.78 M9 刺刀（★） | 伽玛多普勒 (略有磨损)
1909.34 M9 刺刀（★） | 北方森林 (久经沙场)
1567.76 M9 刺刀（★） | 北方森林 (破损不堪)
2015.70 M9 刺刀（★） | 噩梦之夜 (久经沙场)
2022.53 M9 刺刀（★） | 噩梦之夜 (战痕累累)
1919.71 M9 刺刀（★） | 外表生锈 (战痕累累)
4125.80 M9 刺刀（★） | 多普勒 (崭新出厂)
4520.70 M9 刺刀（★） | 多普勒 (略有磨损)
2519.25 M9 刺刀（★） | 大马士革钢 (久经沙场)
3509.67 M9 刺刀（★） | 大马士革钢 (崭新出厂)
3013.09 M9 刺刀（★） | 大马士革钢 (略有磨损)
2864.44 M9 刺刀（★） | 大马士革钢 (破损不堪)
4415.27 M9 刺刀（★） | 屠夫 (略有磨损)
1705.50 M9 刺刀（★） | 枯焦之色 (久经沙场)
1786.58 M9 刺刀（★） | 枯焦之色 (略有磨损)
3108.95 M9 刺刀（★） | 枯焦之色 (破损不堪)
1682.55 M9 刺刀（★） | 森林 DDPAT (久经沙场)
2056.18 M9 刺刀（★） | 森林 DDPAT (略有磨损)
2998.17 M9 刺刀（★） | 深红之网 (久经沙场)
38888.00 M9 刺刀（★） | 深红之网 (崭新出厂)
4371.12 M9 刺刀（★） | 深红之网 (战痕累累)
9918.37 M9 刺刀（★） | 深红之网 (略有磨损)
3736.99 M9 刺刀（★） | 深红之网 (破损不堪)
7078.95 M9 刺刀（★） | 渐变之色 (崭新出厂)
8075.06 M9 刺刀（★） | 渐变大理石 (崭新出厂)
2556.91 M9 刺刀（★） | 澄澈之水 (久经沙场)
3861.89 M9 刺刀（★） | 澄澈之水 (崭新出厂)
4146.27 M9 刺刀（★） | 澄澈之水 (略有磨损)
1432.29 M9 刺刀（★） | 狩猎网格 (久经沙场)
1913.28 M9 刺刀（★） | 狩猎网格 (略有磨损)
4379.08 M9 刺刀（★） | 自动化 (久经沙场)
10112.84 M9 刺刀（★） | 自动化 (崭新出厂)
4012.81 M9 刺刀（★） | 自动化 (战痕累累)
5439.15 M9 刺刀（★） | 自动化 (略有磨损)
2356.42 M9 刺刀（★） | 自由之手 (久经沙场)
2836.28 M9 刺刀（★） | 自由之手 (崭新出厂)
2461.65 M9 刺刀（★） | 自由之手 (略有磨损)
2110.57 M9 刺刀（★） | 致命紫罗兰 (久经沙场)
2137.26 M9 刺刀（★） | 致命紫罗兰 (战痕累累)
3039.51 M9 刺刀（★） | 致命紫罗兰 (略有磨损)
2175.66 M9 刺刀（★） | 蓝钢 (久经沙场)
2364.71 M9 刺刀（★） | 蓝钢 (战痕累累)
3033.83 M9 刺刀（★） | 蓝钢 (略有磨损)
2338.82 M9 刺刀（★） | 蓝钢 (破损不堪)
4500.77 M9 刺刀（★） | 虎牙 (崭新出厂)
5865.42 M9 刺刀（★） | 虎牙 (略有磨损)
2803.90 M9 刺刀（★） | 表面淬火 (久经沙场)
2480.98 M9 刺刀（★） | 表面淬火 (战痕累累)
3294.13 M9 刺刀（★） | 表面淬火 (略有磨损)
1717.74 M9 刺刀（★） | 都市伪装 (久经沙场)
3772.18 M9 刺刀（★） | 黑色层压板 (战痕累累)
3605.80 M9 刺刀（★） | 黑色层压板 (略有磨损)
3749.50 M9 刺刀（★） | 黑色层压板 (破损不堪)
3809.71 刺刀（★ StatTrak™）
1919.04 刺刀（★ StatTrak™） | 人工染色 (破损不堪)
3410.66 刺刀（★ StatTrak™） | 传说 (久经沙场)
6402.14 刺刀（★ StatTrak™） | 传说 (略有磨损)
4728.62 刺刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
3331.79 刺刀（★ StatTrak™） | 多普勒 (崭新出厂)
2207.37 刺刀（★ StatTrak™） | 大马士革钢 (久经沙场)
2269.11 刺刀（★ StatTrak™） | 大马士革钢 (略有磨损)
2325.91 刺刀（★ StatTrak™） | 屠夫 (久经沙场)
9884.36 刺刀（★ StatTrak™） | 深红之网 (略有磨损)
1860.77 刺刀（★ StatTrak™） | 澄澈之水 (久经沙场)
2894.08 刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)
4105.99 刺刀（★ StatTrak™） | 澄澈之水 (略有磨损)
1483.26 刺刀（★ StatTrak™） | 狩猎网格 (战痕累累)
1526.48 刺刀（★ StatTrak™） | 狩猎网格 (略有磨损)
3101.26 刺刀（★ StatTrak™） | 自动化 (久经沙场)
4408.78 刺刀（★ StatTrak™） | 自动化 (略有磨损)
2348.92 刺刀（★ StatTrak™） | 自由之手 (略有磨损)
3741.74 刺刀（★ StatTrak™） | 虎牙 (崭新出厂)
2546.88 刺刀（★ StatTrak™） | 表面淬火 (久经沙场)
3679.39 刺刀（★）
1483.13 刺刀（★） | 人工染色 (久经沙场)
1767.71 刺刀（★） | 人工染色 (略有磨损)
3214.38 刺刀（★） | 传说 (久经沙场)
5509.32 刺刀（★） | 传说 (略有磨损)
3869.85 刺刀（★） | 传说 (破损不堪)
4153.03 刺刀（★） | 伽玛多普勒 (崭新出厂)
1171.05 刺刀（★） | 北方森林 (久经沙场)
1107.97 刺刀（★） | 北方森林 (战痕累累)
1355.89 刺刀（★） | 北方森林 (略有磨损)
1206.84 刺刀（★） | 北方森林 (破损不堪)
1146.16 刺刀（★） | 噩梦之夜 (久经沙场)
1459.58 刺刀（★） | 噩梦之夜 (战痕累累)
1398.90 刺刀（★） | 外表生锈 (战痕累累)
3246.43 刺刀（★） | 多普勒 (崭新出厂)
3257.06 刺刀（★） | 多普勒 (略有磨损)
1887.33 刺刀（★） | 大马士革钢 (久经沙场)
2288.31 刺刀（★） | 大马士革钢 (崭新出厂)
2417.63 刺刀（★） | 大马士革钢 (略有磨损)
2286.58 刺刀（★） | 屠夫 (久经沙场)
2864.44 刺刀（★） | 屠夫 (略有磨损)
1060.00 刺刀（★） | 枯焦之色 (久经沙场)
1206.91 刺刀（★） | 枯焦之色 (战痕累累)
1274.27 刺刀（★） | 枯焦之色 (略有磨损)
1208.45 刺刀（★） | 森林 DDPAT (久经沙场)
1274.27 刺刀（★） | 森林 DDPAT (略有磨损)
1861.91 刺刀（★） | 深红之网 (久经沙场)
1921.45 刺刀（★） | 深红之网 (战痕累累)
3831.45 刺刀（★） | 深红之网 (略有磨损)
3575.17 刺刀（★） | 深红之网 (破损不堪)
4651.89 刺刀（★） | 渐变之色 (崭新出厂)
4607.20 刺刀（★） | 渐变大理石 (崭新出厂)
1546.88 刺刀（★） | 澄澈之水 (久经沙场)
2195.53 刺刀（★） | 澄澈之水 (崭新出厂)
2109.96 刺刀（★） | 澄澈之水 (战痕累累)
1909.67 刺刀（★） | 澄澈之水 (略有磨损)
1465.27 刺刀（★） | 澄澈之水 (破损不堪)
1101.88 刺刀（★） | 狩猎网格 (久经沙场)
1617.66 刺刀（★） | 狩猎网格 (略有磨损)
2879.56 刺刀（★） | 自动化 (久经沙场)
6524.30 刺刀（★） | 自动化 (崭新出厂)
2613.64 刺刀（★） | 自动化 (战痕累累)
3391.46 刺刀（★） | 自动化 (略有磨损)
1617.66 刺刀（★） | 自由之手 (久经沙场)
2194.19 刺刀（★） | 自由之手 (崭新出厂)
1964.46 刺刀（★） | 自由之手 (略有磨损)
1818.56 刺刀（★） | 自由之手 (破损不堪)
1151.85 刺刀（★） | 致命紫罗兰 (久经沙场)
1694.86 刺刀（★） | 致命紫罗兰 (战痕累累)
1832.07 刺刀（★） | 致命紫罗兰 (略有磨损)
1250.99 刺刀（★） | 致命紫罗兰 (破损不堪)
1657.27 刺刀（★） | 蓝钢 (久经沙场)
1546.88 刺刀（★） | 蓝钢 (战痕累累)
1683.76 刺刀（★） | 蓝钢 (略有磨损)
1611.71 刺刀（★） | 蓝钢 (破损不堪)
3451.81 刺刀（★） | 虎牙 (崭新出厂)
3455.08 刺刀（★） | 虎牙 (略有磨损)
2354.61 刺刀（★） | 表面淬火 (久经沙场)
2588.22 刺刀（★） | 表面淬火 (略有磨损)
2098.39 刺刀（★） | 表面淬火 (破损不堪)
1050.30 刺刀（★） | 都市伪装 (久经沙场)
1188.04 刺刀（★） | 都市伪装 (战痕累累)
1411.88 刺刀（★） | 都市伪装 (略有磨损)
1154.12 刺刀（★） | 都市伪装 (破损不堪)
1983.73 刺刀（★） | 黑色层压板 (久经沙场)
2008.48 刺刀（★） | 黑色层压板 (战痕累累)
2090.10 刺刀（★） | 黑色层压板 (略有磨损)
1815.48 刺刀（★） | 黑色层压板 (破损不堪)
821.78 弯刀（★ StatTrak™）
829.47 弯刀（★ StatTrak™） | 人工染色 (略有磨损)
1999.05 弯刀（★ StatTrak™） | 传说 (略有磨损)
2040.66 弯刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
1353.08 弯刀（★ StatTrak™） | 大马士革钢 (崭新出厂)
754.28 弯刀（★ StatTrak™） | 枯焦之色 (战痕累累)
821.84 弯刀（★ StatTrak™） | 森林 DDPAT (久经沙场)
1854.08 弯刀（★ StatTrak™） | 渐变之色 (崭新出厂)
950.22 弯刀（★ StatTrak™） | 澄澈之水 (略有磨损)
982.45 弯刀（★ StatTrak™） | 澄澈之水 (破损不堪)
622.75 弯刀（★ StatTrak™） | 狩猎网格 (久经沙场)
1110.51 弯刀（★ StatTrak™） | 自动化 (久经沙场)
735.88 弯刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)
927.81 弯刀（★ StatTrak™） | 蓝钢 (久经沙场)
703.17 弯刀（★ StatTrak™） | 都市伪装 (战痕累累)
797.09 弯刀（★ StatTrak™） | 黑色层压板 (战痕累累)
831.41 弯刀（★ StatTrak™） | 黑色层压板 (略有磨损)
720.22 弯刀（★）
568.50 弯刀（★） | 人工染色 (久经沙场)
559.07 弯刀（★） | 人工染色 (战痕累累)
537.99 弯刀（★） | 人工染色 (略有磨损)
1019.79 弯刀（★） | 传说 (久经沙场)
1651.65 弯刀（★） | 传说 (崭新出厂)
1272.74 弯刀（★） | 传说 (略有磨损)
1179.95 弯刀（★） | 传说 (破损不堪)
1573.11 弯刀（★） | 伽玛多普勒 (崭新出厂)
1977.77 弯刀（★） | 伽玛多普勒 (略有磨损)
511.97 弯刀（★） | 北方森林 (久经沙场)
537.53 弯刀（★） | 北方森林 (战痕累累)
531.10 弯刀（★） | 噩梦之夜 (战痕累累)
529.97 弯刀（★） | 外表生锈 (战痕累累)
585.36 弯刀（★） | 外表生锈 (破损不堪)
1508.22 弯刀（★） | 多普勒 (崭新出厂)
775.28 弯刀（★） | 大马士革钢 (久经沙场)
959.65 弯刀（★） | 大马士革钢 (崭新出厂)
786.99 弯刀（★） | 大马士革钢 (破损不堪)
1341.71 弯刀（★） | 屠夫 (崭新出厂)
1145.83 弯刀（★） | 屠夫 (略有磨损)
572.05 弯刀（★） | 枯焦之色 (略有磨损)
527.76 弯刀（★） | 森林 DDPAT (久经沙场)
591.85 弯刀（★） | 森林 DDPAT (略有磨损)
912.29 弯刀（★） | 深红之网 (久经沙场)
1415.83 弯刀（★） | 渐变之色 (崭新出厂)
1452.49 弯刀（★） | 渐变大理石 (崭新出厂)
686.91 弯刀（★） | 澄澈之水 (久经沙场)
863.79 弯刀（★） | 澄澈之水 (崭新出厂)
805.25 弯刀（★） | 澄澈之水 (略有磨损)
492.37 弯刀（★） | 狩猎网格 (久经沙场)
562.48 弯刀（★） | 狩猎网格 (战痕累累)
934.23 弯刀（★） | 自动化 (久经沙场)
1154.93 弯刀（★） | 自动化 (略有磨损)
775.28 弯刀（★） | 自由之手 (久经沙场)
991.09 弯刀（★） | 自由之手 (崭新出厂)
902.92 弯刀（★） | 自由之手 (略有磨损)
866.20 弯刀（★） | 自由之手 (破损不堪)
677.94 弯刀（★） | 致命紫罗兰 (久经沙场)
573.52 弯刀（★） | 致命紫罗兰 (战痕累累)
819.37 弯刀（★） | 致命紫罗兰 (略有磨损)
647.37 弯刀（★） | 致命紫罗兰 (破损不堪)
795.35 弯刀（★） | 蓝钢 (略有磨损)
674.13 弯刀（★） | 蓝钢 (破损不堪)
1280.96 弯刀（★） | 虎牙 (崭新出厂)
892.22 弯刀（★） | 表面淬火 (久经沙场)
1631.58 弯刀（★） | 表面淬火 (崭新出厂)
713.80 弯刀（★） | 表面淬火 (战痕累累)
1030.03 弯刀（★） | 表面淬火 (略有磨损)
848.13 弯刀（★） | 表面淬火 (破损不堪)
550.44 弯刀（★） | 都市伪装 (久经沙场)
571.98 弯刀（★） | 都市伪装 (战痕累累)
606.83 弯刀（★） | 都市伪装 (略有磨损)
573.25 弯刀（★） | 都市伪装 (破损不堪)
